govname1	year
Russell, Charles H.	1957
Russell, Charles H.	1958
Sawyer, Grant	1959
Sawyer, Grant	1960
Sawyer, Grant	1961
Sawyer, Grant	1962
Sawyer, Grant	1963
Sawyer, Grant	1964
Sawyer, Grant	1965
Sawyer, Grant	1966
Laxalt, Paul D.	1967
Laxalt, Paul D.	1968
Laxalt, Paul D.	1969
Laxalt, Paul D.	1970
O'Callaghan, Mike	1971
O'Callaghan, Mike	1972
O'Callaghan, Mike	1973
O'Callaghan, Mike	1974
O'Callaghan, Mike	1975
O'Callaghan, Mike	1976
O'Callaghan, Mike	1977
O'Callaghan, Mike	1978
List, Robert F.	1979
List, Robert F.	1980
List, Robert F.	1981
List, Robert F.	1982
Bryan, Richard H.	1983
Bryan, Richard H.	1984
Bryan, Richard H.	1985
Bryan, Richard H.	1986
Bryan, Richard H.	1987
Bryan, Richard H.	1988
Miller, Bob J.	1989
Miller, Bob J.	1990
Miller, Bob J.	1991
Miller, Bob J.	1992
Miller, Bob J.	1993
Miller, Bob J.	1994
Miller, Bob J.	1995
Miller, Bob J.	1996
Miller, Bob J.	1997
Miller, Bob J.	1998
Guinn, Kenny	1999
Guinn, Kenny	2000
Guinn, Kenny	2001
Guinn, Kenny	2002
Guinn, Kenny	2003
Guinn, Kenny	2004
Guinn, Kenny	2005
Guinn, Kenny	2006
Gibbons, James A.	2007
Gibbons, James A.	2008
Gibbons, James A.	2009
Gibbons, James A.	2010
Sandoval, Brian	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Dwinell, Lane	1956
Dwinell, Lane	1957
Dwinell, Lane	1958
Powell, Wesley	1959
Powell, Wesley	1960
Powell, Wesley	1961
Powell, Wesley	1962
King, John W.	1963
King, John W.	1964
King, John W.	1965
King, John W.	1966
King, John W.	1967
King, John W.	1968
Peterson, Walter	1969
Peterson, Walter	1970
Peterson, Walter	1971
Peterson, Walter	1972
Thomson, Meldrim Jr.	1973
Thomson, Meldrim Jr.	1974
Thomson, Meldrim Jr.	1975
Thomson, Meldrim Jr.	1976
Thomson, Meldrim Jr.	1977
Thomson, Meldrim Jr.	1978
Gallen, Hugh J.	1979
Gallen, Hugh J.	1980
Gallen, Hugh J.	1981
Gallen, Hugh J.	1982
Sununu, John H.	1983
Sununu, John H.	1984
Sununu, John H.	1985
Sununu, John H.	1986
Sununu, John H.	1987
Sununu, John H.	1988
Gregg, Judd	1989
Gregg, Judd	1990
Gregg, Judd	1991
Gregg, Judd	1992
Merrill, Steve	1993
Merrill, Steve	1994
Merrill, Steve	1995
Merrill, Steve	1996
Shaheen, Jeanne	1997
Shaheen, Jeanne	1998
Shaheen, Jeanne	1999
Shaheen, Jeanne	2000
Shaheen, Jeanne	2001
Shaheen, Jeanne	2002
Benson-, Craig	2003
Benson-, Craig	2004
Lynch, John	2005
Lynch, John	2006
Lynch, John	2007
Lynch, John	2008
Lynch, John	2009
Lynch, John	2010
Lynch, John	2011
	2012
	2013
	2014
	2015
	2016
	1925
Moore, Arthur Harry	1926
Moore, Arthur Harry	1927
Moore, Arthur Harry	1928
Larson, Morgan F.	1929
Larson, Morgan F.	1930
Larson, Morgan F.	1931
Moore, Arthur Harry	1932
Moore, Arthur Harry	1933
Moore, Arthur Harry	1934
Hoffman, Harold G.	1935
Hoffman, Harold G.	1936
Hoffman, Harold G.	1937
Moore, Arthur Harry	1938
Moore, Arthur Harry	1939
Moore, Arthur Harry	1940
Edison, Charles	1941
Edison, Charles	1942
Edison, Charles	1943
Edge, Walter E.	1944
Edge, Walter E.	1945
Edge, Walter E.	1946
Driscoll, Alfred E.	1947
Driscoll, Alfred E.	1948
Driscoll, Alfred E.	1949
Driscoll, Alfred E.	1950
Driscoll, Alfred E.	1951
Driscoll, Alfred E.	1952
Driscoll, Alfred E.	1953
Meyner, Robert B.	1954
Meyner, Robert B.	1955
Meyner, Robert B.	1956
Meyner, Robert B.	1957
Meyner, Robert B.	1958
Meyner, Robert B.	1959
Meyner, Robert B.	1960
Meyner, Robert B.	1961
Hughes, Richard J.	1962
Hughes, Richard J.	1963
Hughes, Richard J.	1964
Hughes, Richard J.	1965
Hughes, Richard J.	1966
Hughes, Richard J.	1967
Hughes, Richard J.	1968
Hughes, Richard J.	1969
Cahill, William T.	1970
Cahill, William T.	1971
Cahill, William T.	1972
Cahill, William T.	1973
Byrne, Brendan T.	1974
Byrne, Brendan T.	1975
Byrne, Brendan T.	1976
Byrne, Brendan T.	1977
Byrne, Brendan T.	1978
Byrne, Brendan T.	1979
Byrne, Brendan T.	1980
Byrne, Brendan T.	1981
Kean, Thomas H.	1982
Kean, Thomas H.	1983
Kean, Thomas H.	1984
Kean, Thomas H.	1985
Kean, Thomas H.	1986
Kean, Thomas H.	1987
Kean, Thomas H.	1988
Kean, Thomas H.	1989
Florio, James J.	1990
Florio, James J.	1991
Florio, James J.	1992
Florio, James J.	1993
Whitman, Christine Todd	1994
Whitman, Christine Todd	1995
Whitman, Christine Todd	1996
Whitman, Christine Todd	1997
Whitman, Christine Todd	1998
Whitman, Christine Todd	1999
Whitman, Christine Todd	2000
Donald T. DiFrancesco-R, took over January 31, 2001, because Whitman resigned on January 31, 2001.	2001
McGreevey, James E.	2002
McGreevey, James E.	2003
McGreevey then Richard J. Codey-D	2004
Codey, Richard J.	2005
corzine, Jon Stevens	2006
Corzine, Jon	2007
Corzine, Jon	2008
Corzine, Jon	2009
Christie, Chris	2010
Christie, Chris	2011
	2012
	2013
	2014
	2015
	2016
	1925
Hannett, Arthur T.	1926
Dillon, Richard C.	1927
Dillon, Richard C.	1928
Dillon, Richard C.	1929
Dillon, Richard C.	1930
Seligman, Arthur	1931
Seligman, Arthur	1932
Seligman, Arthur	1933
Hockenhull, Andrew W.	1934
Tingley, Clyde	1935
Tingley, Clyde	1936
Tingley, Clyde	1937
Tingley, Clyde	1938
Miles, John E.	1939
Miles, John E.	1940
Miles, John E.	1941
Miles, John E.	1942
Dempsey, John J.	1943
Dempsey, John J.	1944
Dempsey, John J.	1945
Dempsey, John J.	1946
Mabry, Thomas J.	1947
Mabry, Thomas J.	1948
Mabry, Thomas J.	1949
Mabry, Thomas J.	1950
Mechem, Edwin L.	1951
Mechem, Edwin L.	1952
Mechem, Edwin L.	1953
Mechem, Edwin L.	1954
Simms, John F.	1955
Simms, John F.	1956
Mechem, Edwin L.	1957
Mechem, Edwin L.	1958
Burroughs, John	1959
Burroughs, John	1960
Mechem, Edwin L.	1961
Mechem, Edwin L.	1962
Campbell, Jack M.	1963
Campbell, Jack M.	1964
Campbell, Jack M.	1965
Campbell, Jack M.	1966
Cargo, David F.	1967
Cargo, David F.	1968
Cargo, David F.	1969
Cargo, David F.	1970
King, Bruce	1971
King, Bruce	1972
King, Bruce	1973
King, Bruce	1974
Apodaca, Jerry	1975
Apodaca, Jerry	1976
Apodaca, Jerry	1977
Apodaca, Jerry	1978
King, Bruce	1979
King, Bruce	1980
King, Bruce	1981
King, Bruce	1982
Anaya, Toney	1983
Anaya, Toney	1984
Anaya, Toney	1985
Anaya, Toney	1986
Carruthers, Garrey E.	1987
Carruthers, Garrey E.	1988
Carruthers, Garrey E.	1989
Carruthers, Garrey E.	1990
King, Bruce	1991
King, Bruce	1992
King, Bruce	1993
King, Bruce	1994
Johnson, Gary E.	1995
Johnson, Gary E.	1996
Johnson, Gary E.	1997
Johnson, Gary E.	1998
Johnson, Gary E.	1999
Johnson, Gary E.	2000
Johnson, Gary E.	2001
Johnson, Gary E.	2002
Richardson, Bill	2003
Richardson, Bill	2004
Richardson, Bill	2005
Richardson, Bill	2006
Richardson, Bill	2007
Richardson, Bill	2008
Richardson, Bill	2009
Richardson, Bill	2010
Martinez, Susana	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Harriman, W. Averell	1956
Harriman, W. Averell	1957
Harriman, W. Averell	1958
Rockefeller, Nelson A.	1959
Rockefeller, Nelson A.	1960
Rockefeller, Nelson A.	1961
Rockefeller, Nelson A.	1962
Rockefeller, Nelson A.	1963
Rockefeller, Nelson A.	1964
Rockefeller, Nelson A.	1965
Rockefeller, Nelson A.	1966
Rockefeller, Nelson A.	1967
Rockefeller, Nelson A.	1968
Rockefeller, Nelson A.	1969
Rockefeller, Nelson A.	1970
Rockefeller, Nelson A.	1971
Rockefeller, Nelson A.	1972
Rockefeller, Nelson A.	1973
Wilson, Malcolm	1974
Carey, Hugh	1975
Carey, Hugh	1976
Carey, Hugh	1977
Carey, Hugh	1978
Carey, Hugh	1979
Carey, Hugh	1980
Carey, Hugh	1981
Carey, Hugh	1982
Cuomo, Mario M.	1983
Cuomo, Mario M.	1984
Cuomo, Mario M.	1985
Cuomo, Mario M.	1986
Cuomo, Mario M.	1987
Cuomo, Mario M.	1988
Cuomo, Mario M.	1989
Cuomo, Mario M.	1990
Cuomo, Mario M.	1991
Cuomo, Mario M.	1992
Cuomo, Mario M.	1993
Cuomo, Mario M.	1994
Pataki, George E.	1995
Pataki, George E.	1996
Pataki, George E.	1997
Pataki, George E.	1998
Pataki, George E.	1999
Pataki, George E.	2000
Pataki, George E.	2001
Pataki, George E.	2002
Pataki, George E.	2003
Pataki, George E.	2004
Pataki, George E.	2005
Pataki, George E.	2006
Spitzer, Eliot	2007
Paterson, David A.	2008
Paterson, David A.	2009
Paterson, David A.	2010
Cuomo, Andrew	2011
	2012
	2013
	2014
	2015
	2016
	1925
McLean, Angus Wilton	1926
McLean, Angus Wilton	1927
McLean, Angus Wilton	1928
Gardner, O. Max	1929
Gardner, O. Max	1930
Gardner, O. Max	1931
Gardner, O. Max	1932
Ehringhaus, John C.B.	1933
Ehringhaus, John C.B.	1934
Ehringhaus, John C.B.	1935
Ehringhaus, John C.B.	1936
Hoey, Clyde R.	1937
Hoey, Clyde R.	1938
Hoey, Clyde R.	1939
Hoey, Clyde R.	1940
Broughton, J. Melville	1941
Broughton, J. Melville	1942
Broughton, J. Melville	1943
Broughton, J. Melville	1944
Cherry, R. Gregg	1945
Cherry, R. Gregg	1946
Cherry, R. Gregg	1947
Cherry, R. Gregg	1948
Scott, W. Kerr	1949
Scott, W. Kerr	1950
Scott, W. Kerr	1951
Scott, W. Kerr	1952
Umstead, William B.	1953
Umstead, William B.	1954
Hodges, Luther H.	1955
Hodges, Luther H.	1956
Hodges, Luther H.	1957
Hodges, Luther H.	1958
Hodges, Luther H.	1959
Hodges, Luther H.	1960
Sandord, Terry	1961
Sandord, Terry	1962
Sandord, Terry	1963
Sandord, Terry	1964
Moore, Dan K.	1965
Moore, Dan K.	1966
Moore, Dan K.	1967
Moore, Dan K.	1968
Scott, Robert W.	1969
Scott, Robert W.	1970
Scott, Robert W.	1971
Scott, Robert W.	1972
Holshouser, James E. Jr.	1973
Holshouser, James E. Jr.	1974
Holshouser, James E. Jr.	1975
Holshouser, James E. Jr.	1976
Hunt, James B. Jr.	1977
Hunt, James B. Jr.	1978
Hunt, James B. Jr.	1979
Hunt, James B. Jr.	1980
Hunt, James B. Jr.	1981
Hunt, James B. Jr.	1982
Hunt, James B. Jr.	1983
Hunt, James B. Jr.	1984
Martin, James G.	1985
Martin, James G.	1986
Martin, James G.	1987
Martin, James G.	1988
Martin, James G.	1989
Martin, James G.	1990
Martin, James G.	1991
Martin, James G.	1992
Hunt, James B. Jr.	1993
Hunt, James B. Jr.	1994
Hunt, James B. Jr.	1995
Hunt, James B. Jr.	1996
Hunt, James B. Jr.	1997
Hunt, James B. Jr.	1998
Hunt, James B. Jr.	1999
Hunt, James B. Jr.	2000
Easley, Michael F.	2001
Easley, Michael F.	2002
Easley, Michael F.	2003
Easley, Michael F.	2004
Easley, Michael F.	2005
Easley, Michael F.	2006
Easley, Michael F.	2007
Easley, Michael F.	2008
Perdue, Beverly	2009
Perdue, Beverly	2010
Perdue, Beverly	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Brunsdale, C. Norman	1956
Davis, John E.	1957
Davis, John E.	1958
Davis, John E.	1959
Davis, John E.	1960
Guy, William L.	1961
Guy, William L.	1962
Guy, William L.	1963
Guy, William L.	1964
Guy, William L.	1965
Guy, William L.	1966
Guy, William L.	1967
Guy, William L.	1968
Guy, William L.	1969
Guy, William L.	1970
Guy, William L.	1971
Guy, William L.	1972
Link, Arthur A.	1973
Link, Arthur A.	1974
Link, Arthur A.	1975
Link, Arthur A.	1976
Link, Arthur A.	1977
Link, Arthur A.	1978
Link, Arthur A.	1979
Link, Arthur A.	1980
Olson, Allen I.	1981
Olson, Allen I.	1982
Olson, Allen I.	1983
Olson, Allen I.	1984
Sinner, George	1985
Sinner, George	1986
Sinner, George	1987
Sinner, George	1988
Sinner, George	1989
Sinner, George	1990
Sinner, George	1991
Sinner, George	1992
Schafer, Edward T.	1993
Schafer, Edward T.	1994
Schafer, Edward T.	1995
Schafer, Edward T.	1996
Schafer, Edward T.	1997
Schafer, Edward T.	1998
Schafer, Edward T.	1999
Schafer, Edward T.	2000
Hoeven, John	2001
Hoeven, John	2002
Hoeven, John	2003
Hoeven, John	2004
Hoeven, John	2005
Hoeven, John	2006
Hoeven, John	2007
Hoeven, John	2008
Hoeven, John	2009
Hoeven, John	2010
Dalrymple, Jack	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Lausche, Frank J.	1956
O'Neill, C. William	1957
O'Neill, C. William	1958
DiSalle, Michael V.	1959
DiSalle, Michael V.	1960
DiSalle, Michael V.	1961
DiSalle, Michael V.	1962
Rhodes, James A.	1963
Rhodes, James A.	1964
Rhodes, James A.	1965
Rhodes, James A.	1966
Rhodes, James A.	1967
Rhodes, James A.	1968
Rhodes, James A.	1969
Rhodes, James A.	1970
Gilligan, John J.	1971
Gilligan, John J.	1972
Gilligan, John J.	1973
Gilligan, John J.	1974
Rhodes, James A.	1975
Rhodes, James A.	1976
Rhodes, James A.	1977
Rhodes, James A.	1978
Rhodes, James A.	1979
Rhodes, James A.	1980
Rhodes, James A.	1981
Rhodes, James A.	1982
Celeste, Richard F.	1983
Celeste, Richard F.	1984
Celeste, Richard F.	1985
Celeste, Richard F.	1986
Celeste, Richard F.	1987
Celeste, Richard F.	1988
Celeste, Richard F.	1989
Celeste, Richard F.	1990
Voinovich, George V.	1991
Voinovich, George V.	1992
Voinovich, George V.	1993
Voinovich, George V.	1994
Voinovich, George V.	1995
Voinovich, George V.	1996
Voinovich, George V.	1997
Voinovich, George V.	1998
Taft, Bob	1999
Taft, Bob	2000
Taft, Bob	2001
Taft, Bob	2002
Taft, Bob	2003
Taft, Bob	2004
Taft, Bob	2005
Taft, Bob	2006
Strickland, Ted	2007
Strickland, Ted	2008
Strickland, Ted	2009
Strickland, Ted	2010
Kasich, John	2011
	2012
	2013
	2014
	2015
	2016
	1925
Trapp, Martin E.	1926
Johnson, Henry S.	1927
Johnson, Henry S.	1928
Holloway, William J.	1929
Holloway, William J.	1930
Murray, William H.	1931
Murray, William H.	1932
Murray, William H.	1933
Murray, William H.	1934
Marland, Ernest W.	1935
Marland, Ernest W.	1936
Marland, Ernest W.	1937
Marland, Ernest W.	1938
Phillips, Leon C.	1939
Phillips, Leon C.	1940
Phillips, Leon C.	1941
Phillips, Leon C.	1942
Kerr, Robert S.	1943
Kerr, Robert S.	1944
Kerr, Robert S.	1945
Kerr, Robert S.	1946
Turner, Roy J.	1947
Turner, Roy J.	1948
Turner, Roy J.	1949
Turner, Roy J.	1950
Murray, Johnston	1951
Murray, Johnston	1952
Murray, Johnston	1953
Murray, Johnston	1954
Gary, Raymond D.	1955
Gary, Raymond D.	1956
Gary, Raymond D.	1957
Gary, Raymond D.	1958
Edmondson, J. Howard	1959
Edmondson, J. Howard	1960
Edmondson, J. Howard	1961
Edmondson, J. Howard	1962
Bellmon, Henry L.	1963
Bellmon, Henry L.	1964
Bellmon, Henry L.	1965
Bellmon, Henry L.	1966
Bartlett, Dewey F.	1967
Bartlett, Dewey F.	1968
Bartlett, Dewey F.	1969
Bartlett, Dewey F.	1970
Hall, David	1971
Hall, David	1972
Hall, David	1973
Hall, David	1974
Boren, David L.	1975
Boren, David L.	1976
Boren, David L.	1977
Boren, David L.	1978
Nigh, George	1979
Nigh, George	1980
Nigh, George	1981
Nigh, George	1982
Nigh, George	1983
Nigh, George	1984
Nigh, George	1985
Nigh, George	1986
Bellmon, Henry L.	1987
Bellmon, Henry L.	1988
Bellmon, Henry L.	1989
Bellmon, Henry L.	1990
Walters, David	1991
Walters, David	1992
Walters, David	1993
Walters, David	1994
Keating, Frank	1995
Keating, Frank	1996
Keating, Frank	1997
Keating, Frank	1998
Keating, Frank	1999
Keating, Frank	2000
Keating, Frank	2001
Keating, Frank	2002
Henry, Brad	2003
Henry, Brad	2004
Henry, Brad	2005
Henry, Brad	2006
Henry, Brad	2007
Henry, Brad	2008
Henry, Brad	2009
Henry, Brad	2010
Fallin, Mary	2011
	2012
	2013
	2014
	2015
	2016
	1925
Pierce, Walter M.	1926
Patterson, Isaac L.	1927
Patterson, Isaac L.	1928
Patterson, Isaac L.	1929
Norblad, A.W.	1930
Meier, Julius	1931
Meier, Julius	1932
Meier, Julius	1933
Meier, Julius	1934
Martin, Charles H.	1935
Martin, Charles H.	1936
Martin, Charles H.	1937
Martin, Charles H.	1938
Sprague, Charles A.	1939
Sprague, Charles A.	1940
Sprague, Charles A.	1941
Sprague, Charles A.	1942
Snell, Earl	1943
Snell, Earl	1944
Snell, Earl	1945
Snell, Earl	1946
Snell, Earl	1947
Hall, John H.	1948
McKay, Douglas	1949
McKay, Douglas	1950
McKay, Douglas	1951
McKay, Douglas	1952
Patterson, Paul L.	1953
Patterson, Paul L.	1954
Patterson, Paul L.	1955
Smith, Elmo	1956
Holmes, Robert D.	1957
Holmes, Robert D.	1958
Hatfield, Mark O.	1959
Hatfield, Mark O.	1960
Hatfield, Mark O.	1961
Hatfield, Mark O.	1962
Hatfield, Mark O.	1963
Hatfield, Mark O.	1964
Hatfield, Mark O.	1965
Hatfield, Mark O.	1966
McCall, Tom	1967
McCall, Tom	1968
McCall, Tom	1969
McCall, Tom	1970
McCall, Tom	1971
McCall, Tom	1972
McCall, Tom	1973
McCall, Tom	1974
Straub, Robert W.	1975
Straub, Robert W.	1976
Straub, Robert W.	1977
Straub, Robert W.	1978
Atiyeh, Victor	1979
Atiyeh, Victor	1980
Atiyeh, Victor	1981
Atiyeh, Victor	1982
Atiyeh, Victor	1983
Atiyeh, Victor	1984
Atiyeh, Victor	1985
Atiyeh, Victor	1986
Goldschmidt, Neil	1987
Goldschmidt, Neil	1988
Goldschmidt, Neil	1989
Goldschmidt, Neil	1990
Roberts, Barbara	1991
Roberts, Barbara	1992
Roberts, Barbara	1993
Roberts, Barbara	1994
Kitzhaber, John	1995
Kitzhaber, John	1996
Kitzhaber, John	1997
Kitzhaber, John	1998
Kitzhaber, John	1999
Kitzhaber, John	2000
Kitzhaber, John	2001
Kitzhaber, John	2002
Kulongoski, Ted	2003
Kulongoski, Ted	2004
Kulongoski, Ted	2005
Kulongoski, Ted	2006
Kulongoski, Ted	2007
Kulongoski, Ted	2008
Kulongoski, Ted	2009
Kulongoski, Ted	2010
Kitzhaber, John A.	2011
	2012
	2013
	2014
	2015
	2016
	1925
Pinchot, Gifford	1926
Fisher, John S.	1927
Fisher, John S.	1928
Fisher, John S.	1929
Fisher, John S.	1930
Pinchot, Gifford	1931
Pinchot, Gifford	1932
Pinchot, Gifford	1933
Pinchot, Gifford	1934
Earle, George H.	1935
Earle, George H.	1936
Earle, George H.	1937
Earle, George H.	1938
James, Arthur H.	1939
James, Arthur H.	1940
James, Arthur H.	1941
James, Arthur H.	1942
Martin, Edward	1943
Martin, Edward	1944
Martin, Edward	1945
Martin, Edward	1946
Duff, James H.	1947
Duff, James H.	1948
Duff, James H.	1949
Duff, James H.	1950
Fine, John S.	1951
Fine, John S.	1952
Fine, John S.	1953
Fine, John S.	1954
Leader, George M.	1955
Leader, George M.	1956
Leader, George M.	1957
Leader, George M.	1958
Lawrence, David L.	1959
Lawrence, David L.	1960
Lawrence, David L.	1961
Lawrence, David L.	1962
Scranton, William W.	1963
Scranton, William W.	1964
Scranton, William W.	1965
Scranton, William W.	1966
Shafer, Raymond P.	1967
Shafer, Raymond P.	1968
Shafer, Raymond P.	1969
Shafer, Raymond P.	1970
Shapp, Milton J.	1971
Shapp, Milton J.	1972
Shapp, Milton J.	1973
Shapp, Milton J.	1974
Shapp, Milton J.	1975
Shapp, Milton J.	1976
Shapp, Milton J.	1977
Shapp, Milton J.	1978
Thornburgh, Richard L.	1979
Thornburgh, Richard L.	1980
Thornburgh, Richard L.	1981
Thornburgh, Richard L.	1982
Thornburgh, Richard L.	1983
Thornburgh, Richard L.	1984
Thornburgh, Richard L.	1985
Thornburgh, Richard L.	1986
Casey, Robert P.	1987
Casey, Robert P.	1988
Casey, Robert P.	1989
Casey, Robert P.	1990
Casey, Robert P.	1991
Casey, Robert P.	1992
Casey, Robert P.	1993
Casey, Robert P.	1994
Ridge, Tom	1995
Ridge, Tom	1996
Ridge, Tom	1997
Ridge, Tom	1998
Ridge, Tom	1999
Ridge, Tom	2000
Switch; Ridge then Schweiker	2001
Schweiker, Mark	2002
Rendell, Edward G.	2003
Rendell, Edward G.	2004
Rendell, Edward G.	2005
Rendell, Edward G.	2006
Rendell, Edward G.	2007
Rendell, Edward G.	2008
Rendell, Edward G.	2009
Rendell, Edward G.	2010
Corbett, Tom	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Roberts, Dennis J.	1956
Roberts, Dennis J.	1957
Roberts, Dennis J.	1958
Del Sesto, Christopher	1959
Del Sesto, Christopher	1960
Notte, John A. Jr.	1961
Notte, John A. Jr.	1962
Chafee, John H.	1963
Chafee, John H.	1964
Chafee, John H.	1965
Chafee, John H.	1966
Chafee, John H.	1967
Chafee, John H.	1968
Licht, Frank	1969
Licht, Frank	1970
Licht, Frank	1971
Licht, Frank	1972
Noel, Philip W.	1973
Noel, Philip W.	1974
Noel, Philip W.	1975
Noel, Philip W.	1976
Garrahy, Joseph J.	1977
Garrahy, Joseph J.	1978
Garrahy, Joseph J.	1979
Garrahy, Joseph J.	1980
Garrahy, Joseph J.	1981
Garrahy, Joseph J.	1982
Garrahy, Joseph J.	1983
Garrahy, Joseph J.	1984
DiPrete, Edward D.	1985
DiPrete, Edward D.	1986
DiPrete, Edward D.	1987
DiPrete, Edward D.	1988
DiPrete, Edward D.	1989
DiPrete, Edward D.	1990
Sundlun, Bruce	1991
Sundlun, Bruce	1992
Sundlun, Bruce	1993
Sundlun, Bruce	1994
Almond, Lincoln C.	1995
Almond, Lincoln C.	1996
Almond, Lincoln C.	1997
Almond, Lincoln C.	1998
Almond, Lincoln C.	1999
Almond, Lincoln C.	2000
Almond, Lincoln C.	2001
Almond, Lincoln C.	2002
Carcieri, Don	2003
Carcieri, Don	2004
Carcieri, Don	2005
Carcieri, Don	2006
Carcieri, Don	2007
Carcieri, Don	2008
Carcieri, Don	2009
Carcieri, Don	2010
Chafee, Lincoln	2011
	2012
	2013
	2014
	2015
	2016
	1925
McLeod, Thomas G.	1926
Richards, John G.	1927
Richards, John G.	1928
Richards, John G.	1929
Richards, John G.	1930
Blackwood, Ibra C.	1931
Blackwood, Ibra C.	1932
Blackwood, Ibra C.	1933
Blackwood, Ibra C.	1934
Johnston, Olin D.	1935
Johnston, Olin D.	1936
Johnston, Olin D.	1937
Johnston, Olin D.	1938
Maybank, Burnet R.	1939
Maybank, Burnet R.	1940
Maybank, Burnet R.	1941
Jeffries, Richard M.	1942
Johnston, Olin D.	1943
Johnston, Olin D.	1944
Williams, Ransome J.	1945
Williams, Ransome J.	1946
Thurmond, J. Strom	1947
Thurmond, J. Strom	1948
Thurmond, J. Strom	1949
Thurmond, J. Strom	1950
Byrnes, James F.	1951
Byrnes, James F.	1952
Byrnes, James F.	1953
Byrnes, James F.	1954
Timmerman, George Bell Jr.	1955
Timmerman, George Bell Jr.	1956
Timmerman, George Bell Jr.	1957
Timmerman, George Bell Jr.	1958
Hollings, Ernest F.	1959
Hollings, Ernest F.	1960
Hollings, Ernest F.	1961
Hollings, Ernest F.	1962
Russell, Donald S.	1963
Russell, Donald S.	1964
Russell, Donald S. followed by Robert E. McNair	1965
McNair, Robert E.	1966
McNair, Robert E.	1967
McNair, Robert E.	1968
McNair, Robert E.	1969
McNair, Robert E.	1970
West, John C.	1971
West, John C.	1972
West, John C.	1973
West, John C.	1974
Edwards, James	1975
Edwards, James	1976
Edwards, James	1977
Edwards, James	1978
Riley, Richard	1979
Riley, Richard	1980
Riley, Richard	1981
Riley, Richard	1982
Riley, Richard	1983
Riley, Richard	1984
Riley, Richard	1985
Riley, Richard	1986
Campbell, Carroll	1987
Campbell, Carroll	1988
Campbell, Carroll	1989
Campbell, Carroll	1990
Campbell, Carroll	1991
Campbell, Carroll	1992
Campbell, Carroll	1993
Campbell, Carroll	1994
Beasley, David	1995
Beasley, David	1996
Beasley, David	1997
Beasley, David	1998
Hodges, Jim	1999
Hodges, Jim	2000
Hodges, Jim	2001
Hodges, Jim	2002
Sanford, Mark	2003
Sanford, Mark	2004
Sanford, Mark	2005
Sanford, Mark	2006
Sanford, Mark	2007
Sanford, Mark	2008
Sanford, Mark	2009
Sanford, Mark	2010
Haley, Nikki R.	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Foss, Joe	1956
Foss, Joe	1957
Foss, Joe	1958
Herseth, Ralph E.	1959
Herseth, Ralph E.	1960
Gubbrud, Archie M.	1961
Gubbrud, Archie M.	1962
Gubbrud, Archie M.	1963
Gubbrud, Archie M.	1964
Boe, Nils A.	1965
Boe, Nils A.	1966
Boe, Nils A.	1967
Boe, Nils A.	1968
Farrar, Frank L.	1969
Farrar, Frank L.	1970
Kneip, Richard F.	1971
Kneip, Richard F.	1972
Kneip, Richard F.	1973
Kneip, Richard F.	1974
Kneip, Richard F.	1975
Kneip, Richard F.	1976
Kneip, Richard F.	1977
Kneip, Richard F. followed by Harvey L. Wollman	1978
Janklow, William J.	1979
Janklow, William J.	1980
Janklow, William J.	1981
Janklow, William J.	1982
Janklow, William J.	1983
Janklow, William J.	1984
Janklow, William J.	1985
Janklow, William J.	1986
Mickelson, George S.	1987
Mickelson, George S.	1988
Mickelson, George S.	1989
Mickelson, George S.	1990
Mickelson, George S.	1991
Mickelson, George S.	1992
Mickelson, George S. followed by Walter D. Miller	1993
Miller, Walter D.	1994
Janklow, William J.	1995
